rank,FE2,FE3,FE4,MFM1,MFM2,MFM4,MSF1,MSF2,MSF3,MSF4,MSF5,MSF6,MSF7,SAM2,SAM4,SAM5,RANDOM
0,sample_id,sample_id,gene55,gene38,gene38,gene38,gene38,gene38,gene38,gene38,gene38,gene38,gene38,gene38,sample_id,sample_id,gene84
1,gene96,gene55,gene23,gene31,gene31,gene31,gene27,gene27,gene27,gene27,gene27,gene27,gene27,gene95,gene96,gene55,gene55
2,gene62,gene38,gene14,gene27,gene27,gene27,gene31,gene31,gene31,gene31,gene31,gene31,gene31,gene37,gene62,gene38,gene66
3,gene7,gene62,gene38,gene94,gene94,gene94,gene94,gene94,gene94,gene94,gene94,gene94,gene94,gene55,gene7,gene62,gene67
4,gene12,gene75,gene9,gene96,gene96,gene96,gene96,gene96,gene96,gene96,gene96,gene96,gene96,gene85,gene12,gene75,gene45
5,gene24,gene41,gene41,gene21,gene21,gene21,gene21,gene21,gene21,gene21,gene21,gene21,gene21,gene76,gene24,gene41,gene39
6,gene48,gene7,gene81,gene68,gene68,gene68,gene68,gene68,gene68,gene68,gene68,gene68,gene68,gene23,gene48,gene7,gene22
7,gene52,gene31,gene7,gene81,gene81,gene81,gene81,gene81,gene81,gene81,gene81,gene81,gene81,gene9,gene52,gene31,gene44
8,gene20,gene13,gene75,gene93,gene93,gene93,gene93,gene93,gene93,gene93,gene93,gene93,gene93,gene81,gene20,gene13,gene10
9,gene64,gene94,gene39,gene41,gene41,gene41,gene41,gene41,gene41,gene41,gene41,gene41,gene41,gene40,gene64,gene94,sample_id
10,gene77,gene77,gene12,gene36,gene36,gene36,gene36,gene36,gene36,gene36,gene36,gene36,gene36,sample_id,gene77,gene77,gene18
11,gene80,gene2,gene31,gene55,gene55,gene55,gene55,gene55,gene55,gene55,gene55,gene55,gene55,gene72,gene80,gene2,gene30
12,gene35,gene81,gene76,gene52,gene52,gene52,gene52,gene52,gene52,gene52,gene52,gene52,gene52,gene69,gene35,gene81,gene97
13,gene84,gene18,gene78,gene62,gene62,gene62,gene62,gene62,gene62,gene62,gene62,gene62,gene62,gene35,gene84,gene18,gene33
14,gene8,gene27,gene85,gene79,gene79,gene79,gene79,gene79,gene79,gene79,gene79,gene79,gene79,gene6,gene8,gene27,gene77
15,gene5,gene58,gene19,gene29,gene29,gene29,gene29,gene29,gene29,gene29,gene29,gene72,gene29,gene7,gene5,gene58,gene4
16,gene91,gene21,gene10,gene72,gene72,gene72,gene23,gene23,gene23,gene23,gene23,gene29,gene23,gene12,gene91,gene21,gene93
17,gene94,gene9,gene26,gene83,gene83,gene83,gene72,gene72,gene72,gene72,gene72,gene83,gene72,gene10,gene94,gene9,gene78
18,gene83,gene99,gene37,gene23,gene23,gene23,gene82,gene82,gene82,gene82,gene82,gene23,gene82,gene14,gene83,gene99,gene12
19,gene39,gene76,gene35,gene82,gene82,gene82,gene83,gene83,gene83,gene83,gene83,gene82,gene83,gene31,gene39,gene76,gene31
20,gene75,gene79,gene99,gene19,gene19,gene19,gene7,gene7,gene7,gene7,gene7,gene19,gene7,gene11,gene75,gene79,gene76
21,gene70,gene39,gene50,gene7,gene7,gene7,gene19,gene19,gene19,gene19,gene19,gene7,gene19,gene75,gene70,gene39,gene89
22,gene86,gene86,gene6,gene75,gene75,gene75,gene75,gene75,gene75,gene75,gene75,gene75,gene75,gene99,gene86,gene86,gene26
23,gene55,gene14,gene3,gene32,gene32,gene32,gene32,gene32,gene32,gene32,gene32,gene14,gene32,gene73,gene55,gene14,gene42
24,gene90,gene12,gene61,gene14,gene14,gene14,gene14,gene14,gene14,gene14,gene14,gene32,gene14,gene33,gene90,gene12,gene70
25,gene45,gene37,gene62,gene77,gene77,gene77,gene77,gene77,gene77,gene77,gene77,gene77,gene77,gene86,gene45,gene37,gene15
26,gene43,gene11,gene64,gene28,gene28,gene28,gene28,gene28,gene28,gene28,gene28,gene28,gene28,gene32,gene43,gene11,gene40
27,gene82,gene20,gene32,gene92,gene92,gene92,gene92,gene92,gene92,gene92,gene92,gene92,gene92,gene61,gene82,gene20,gene72
28,gene79,gene73,gene73,gene18,gene18,gene18,gene18,gene18,gene18,gene18,gene18,gene18,gene18,gene41,gene79,gene73,gene9
29,gene50,gene10,gene79,gene58,gene58,gene58,gene10,gene10,gene10,gene10,gene10,gene58,gene10,gene5,gene50,gene10,gene96
