rank,FE2,FE3,FE4,MFM1,MFM2,MFM4,MSF1,MSF2,MSF3,MSF4,MSF5,MSF6,MSF7,SAM2,SAM4,SAM5,RANDOM
0,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,sample_id,gene84
1,gene72,gene72,gene72,gene1,gene1,gene72,gene72,gene72,gene72,gene1,gene72,gene72,gene72,gene72,gene72,gene72,gene55
2,gene71,gene71,gene71,gene2,gene2,gene71,gene71,gene71,gene71,gene2,gene71,gene71,gene71,gene71,gene71,gene71,gene66
3,gene70,gene70,gene70,gene3,gene3,gene70,gene70,gene70,gene70,gene3,gene70,gene70,gene70,gene70,gene70,gene70,gene67
4,gene69,gene69,gene69,gene4,gene4,gene69,gene69,gene69,gene69,gene4,gene69,gene69,gene69,gene69,gene69,gene69,gene45
5,gene68,gene68,gene68,gene5,gene5,gene68,gene68,gene68,gene68,gene5,gene68,gene68,gene68,gene68,gene68,gene68,gene39
6,gene67,gene67,gene67,gene6,gene6,gene67,gene67,gene67,gene67,gene6,gene67,gene67,gene67,gene67,gene67,gene67,gene22
7,gene66,gene66,gene66,gene7,gene7,gene66,gene66,gene66,gene66,gene7,gene66,gene66,gene66,gene66,gene66,gene66,gene44
8,gene65,gene65,gene65,gene8,gene8,gene65,gene65,gene65,gene65,gene8,gene65,gene65,gene65,gene65,gene65,gene65,gene10
9,gene64,gene64,gene64,gene9,gene9,gene64,gene64,gene64,gene64,gene9,gene64,gene64,gene64,gene64,gene64,gene64,sample_id
10,gene63,gene63,gene63,gene10,gene10,gene63,gene63,gene63,gene63,gene10,gene63,gene63,gene63,gene63,gene63,gene63,gene18
11,gene62,gene62,gene62,gene11,gene11,gene62,gene62,gene62,gene62,gene11,gene62,gene62,gene62,gene62,gene62,gene62,gene30
12,gene61,gene61,gene61,gene12,gene12,gene61,gene61,gene61,gene61,gene12,gene61,gene61,gene61,gene61,gene61,gene61,gene97
13,gene60,gene60,gene60,gene13,gene13,gene60,gene60,gene60,gene60,gene13,gene60,gene60,gene60,gene60,gene60,gene60,gene33
14,gene59,gene59,gene59,gene14,gene14,gene59,gene59,gene59,gene59,gene14,gene59,gene59,gene59,gene59,gene59,gene59,gene77
15,gene58,gene58,gene58,gene15,gene15,gene58,gene58,gene58,gene58,gene15,gene58,gene58,gene58,gene58,gene58,gene58,gene4
16,gene57,gene57,gene57,gene16,gene16,gene57,gene57,gene57,gene57,gene16,gene57,gene57,gene57,gene57,gene57,gene57,gene93
17,gene56,gene56,gene56,gene17,gene17,gene56,gene56,gene56,gene56,gene17,gene56,gene56,gene56,gene56,gene56,gene56,gene78
18,gene55,gene55,gene55,gene18,gene18,gene55,gene55,gene55,gene55,gene18,gene55,gene55,gene55,gene55,gene55,gene55,gene12
19,gene54,gene54,gene54,gene19,gene19,gene54,gene54,gene54,gene54,gene19,gene54,gene54,gene54,gene54,gene54,gene54,gene31
20,gene53,gene53,gene53,gene20,gene20,gene53,gene53,gene53,gene53,gene20,gene53,gene53,gene53,gene53,gene53,gene53,gene76
21,gene52,gene52,gene52,gene21,gene21,gene52,gene52,gene52,gene52,gene21,gene52,gene52,gene52,gene52,gene52,gene52,gene89
22,gene73,gene73,gene73,gene22,gene22,gene73,gene73,gene73,gene73,gene22,gene73,gene73,gene73,gene73,gene73,gene73,gene26
23,gene74,gene74,gene74,gene23,gene23,gene74,gene74,gene74,gene74,gene23,gene74,gene74,gene74,gene74,gene74,gene74,gene42
24,gene75,gene75,gene75,gene24,gene24,gene75,gene75,gene75,gene75,gene24,gene75,gene75,gene75,gene75,gene75,gene75,gene70
25,gene76,gene76,gene76,gene25,gene25,gene76,gene76,gene76,gene76,gene25,gene76,gene76,gene76,gene76,gene76,gene76,gene15
26,gene98,gene98,gene98,gene26,gene26,gene98,gene98,gene98,gene98,gene26,gene98,gene98,gene98,gene98,gene98,gene98,gene40
27,gene97,gene97,gene97,gene27,gene27,gene97,gene97,gene97,gene97,gene27,gene97,gene97,gene97,gene97,gene97,gene97,gene72
28,gene96,gene96,gene96,gene28,gene28,gene96,gene96,gene96,gene96,gene28,gene96,gene96,gene96,gene96,gene96,gene96,gene9
29,gene95,gene95,gene95,gene29,gene29,gene95,gene95,gene95,gene95,gene29,gene95,gene95,gene95,gene95,gene95,gene95,gene96
